Cell ID,,Timepoint, ,Position,  ,Displacement Vector,   ,Distance Traveled,    ,Volume,     ,Surface Area,      
,,26.0,,"(-144.5, -48.1, 41.7)",,"(-3.6, 8.7, -7.6)",,12.1,,4211.3,,1534.4,
,,27.0,,"(-151.4, -33.5, 41.7)",,"(-6.9, 14.7, 0.0)",,16.2,,1823.7,,763.3,
,,28.0,,"(-154.7, -15.5, 26.5)",,"(-3.2, 18.0, -15.2)",,23.7,,2759.4,,1065.6,
,,29.0,,"(-153.3, -13.9, 22.7)",,"(1.4, 1.5, -3.8)",,4.3,,3145.5,,1215.0,
,,30.0,,"(-156.3, -19.9, 18.9)",,"(-3.1, -5.9, -3.8)",,7.7,,2715.5,,1087.3,
"4_(0, 255, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,,,,,,,,,,
,,1.0,,,,,,,,,,,
,,2.0,,,,,,,,,,,
,,3.0,,,,,,,,,,,
,,4.0,,,,,,,,,,,
,,5.0,,,,,,,,,,,
,,6.0,,,,,,,,,,,
,,7.0,,,,,,,,,,,
,,8.0,,,,,,,,,,,
,,9.0,,,,,,,,,,,
,,10.0,,,,,,,,,,,
,,11.0,,,,,,,,,,,
,,12.0,,,,,,,,,,,
,,13.0,,,,,,,,,,,
,,14.0,,,,,,,,,,,
,,15.0,,,,,,,,,,,
,,16.0,,,,,,,,,,,
,,17.0,,,,,,,,,,,
,,18.0,,,,,,,,,,,
,,19.0,,,,,,,,,,,
,,20.0,,,,,,,,,,,
,,21.0,,,,,,,,,,,
,,22.0,,,,,,,,,,,
,,23.0,,,,,,,,,,,
,,24.0,,,,,,,,,,,
,,25.0,,,,,,,,,,,
,,26.0,,,,,,,,,,,
,,27.0,,"(-145.0, -65.4, 56.8)",,,,,,1736.5,,758.1,
,,28.0,,"(-144.7, -69.3, 56.8)",,"(0.3, -4.0, 0.0)",,4.0,,2026.8,,836.8,
,,29.0,,"(-140.6, -78.7, 45.5)",,"(4.1, -9.3, -11.4)",,15.3,,3457.2,,1191.0,
,,30.0,,"(-145.2, -68.4, 49.2)",,"(-4.6, 10.2, 3.8)",,11.8,,3265.9,,1217.2,
"5_(0, 255, 255)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-187.6, 1.7, 56.8)",,,,,,172043.1,,19762.9,
,,1.0,,"(-187.1, 3.0, 53.0)",,"(0.4, 1.3, -3.8)",,4.0,,182817.1,,19769.2,
,,2.0,,"(-189.9, 1.4, 56.8)",,"(-2.8, -1.6, 3.8)",,5.0,,185800.8,,20328.4,
,,3.0,,"(-195.7, -0.5, 60.6)",,"(-5.8, -1.9, 3.8)",,7.1,,191095.6,,20909.5,
,,4.0,,"(-198.9, -1.9, 56.8)",,"(-3.2, -1.4, -3.8)",,5.2,,206636.5,,20725.0,
,,5.0,,"(-201.7, -6.5, 56.8)",,"(-2.8, -4.6, 0.0)",,5.4,,206789.1,,20414.0,
,,6.0,,"(-200.5, -5.1, 64.4)",,"(1.2, 1.4, 7.6)",,7.8,,220523.5,,21931.4,
,,7.0,,"(-203.7, -5.4, 64.4)",,"(-3.1, -0.3, 0.0)",,3.1,,208594.8,,20527.0,
,,8.0,,"(-208.5, -4.7, 64.4)",,"(-4.8, 0.8, 0.0)",,4.9,,222353.7,,22054.3,
,,9.0,,"(-206.4, -1.2, 64.4)",,"(2.1, 3.4, 0.0)",,4.0,,209613.2,,20733.4,
,,10.0,,"(-211.7, -2.5, 60.6)",,"(-5.3, -1.2, -3.8)",,6.7,,208726.4,,21386.4,
,,11.0,,"(-213.5, -2.3, 60.6)",,"(-1.8, 0.2, 0.0)",,1.8,,204375.9,,21346.7,
,,12.0,,"(-215.5, 0.8, 60.6)",,"(-2.0, 3.1, 0.0)",,3.7,,217733.8,,22186.0,
,,13.0,,"(-219.9, 1.8, 41.7)",,"(-4.4, 1.0, -18.9)",,19.5,,188761.2,,19621.6,
,,14.0,,"(-221.8, 5.2, 49.2)",,"(-1.9, 3.5, 7.6)",,8.6,,191814.4,,19353.8,
,,15.0,,"(-229.1, 5.8, 49.2)",,"(-7.4, 0.6, 0.0)",,7.4,,198912.3,,20200.4,
,,16.0,,"(-224.3, 6.8, 49.2)",,"(4.8, 0.9, 0.0)",,4.9,,187607.2,,20072.4,
,,17.0,,"(-221.0, 1.7, 49.2)",,"(3.3, -5.1, 0.0)",,6.1,,183148.4,,19772.0,
,,18.0,,"(-223.1, -7.9, 49.2)",,"(-2.1, -9.5, 0.0)",,9.7,,202615.8,,20276.2,
,,19.0,,"(-222.0, -14.4, 53.0)",,"(1.1, -6.5, 3.8)",,7.6,,206247.6,,20838.3,
,,20.0,,"(-224.2, -11.6, 49.2)",,"(-2.2, 2.8, -3.8)",,5.2,,189715.0,,19947.1,
,,21.0,,"(-230.3, -9.6, 56.8)",,"(-6.1, 2.0, 7.6)",,9.9,,201567.5,,20010.9,
,,22.0,,"(-232.1, -8.4, 49.2)",,"(-1.8, 1.2, -7.6)",,7.9,,196243.8,,19438.4,
,,23.0,,"(-236.3, -8.7, 49.2)",,"(-4.1, -0.3, 0.0)",,4.2,,198017.8,,20538.2,
,,24.0,,"(-244.6, -14.1, 49.2)",,"(-8.3, -5.4, 0.0)",,9.9,,222191.9,,20648.9,
,,25.0,,"(-249.8, -15.5, 49.2)",,"(-5.2, -1.4, 0.0)",,5.4,,206061.9,,19962.0,
,,26.0,,"(-249.2, -13.2, 45.5)",,"(0.6, 2.3, -3.8)",,4.5,,230059.0,,20987.3,
,,27.0,,"(-251.5, -12.3, 45.5)",,"(-2.3, 0.9, 0.0)",,2.4,,226164.1,,20411.0,
,,28.0,,"(-251.4, -15.1, 45.5)",,"(0.1, -2.8, 0.0)",,2.8,,233671.9,,20615.2,
,,29.0,,"(-250.9, -15.6, 45.5)",,"(0.4, -0.5, 0.0)",,0.7,,236451.8,,21114.1,
,,30.0,,"(-255.7, -15.0, 45.5)",,"(-4.7, 0.6, 0.0)",,4.8,,237862.7,,21454.9,
"6_(255, 0, 255)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-363.7, -2.5, 64.4)",,,,,,385857.6,,31389.9,
,,1.0,,"(-366.2, 0.0, 64.4)",,"(-2.5, 2.6, 0.0)",,3.6,,397655.3,,32897.5,
,,2.0,,"(-367.0, -1.3, 64.4)",,"(-0.7, -1.3, 0.0)",,1.5,,396416.2,,31826.0,
,,3.0,,"(-376.8, 0.9, 68.2)",,"(-9.9, 2.2, 3.8)",,10.8,,424853.6,,33154.7,
,,4.0,,"(-377.7, 1.1, 72.0)",,"(-0.9, 0.1, 3.8)",,3.9,,382514.4,,32575.5,
,,5.0,,"(-383.2, -0.2, 72.0)",,"(-5.5, -1.3, 0.0)",,5.6,,398183.1,,32076.4,
,,6.0,,"(-380.0, 2.5, 72.0)",,"(3.2, 2.7, 0.0)",,4.2,,429227.9,,33474.6,
,,7.0,,"(-380.9, 1.6, 75.8)",,"(-0.8, -0.8, 3.8)",,4.0,,424115.7,,34741.5,
,,8.0,,"(-382.1, -1.3, 75.8)",,"(-1.3, -2.9, 0.0)",,3.2,,448922.2,,35821.2,
,,9.0,,"(-380.3, -1.0, 75.8)",,"(1.8, 0.3, 0.0)",,1.9,,468570.9,,34491.6,
,,10.0,,"(-384.3, -2.3, 75.8)",,"(-4.0, -1.3, 0.0)",,4.2,,469121.5,,34430.9,
,,11.0,,"(-387.6, 0.5, 75.8)",,"(-3.3, 2.8, 0.0)",,4.3,,422846.4,,33085.2,
,,12.0,,"(-387.9, -1.3, 72.0)",,"(-0.3, -1.8, -3.8)",,4.2,,478263.3,,33623.0,
,,13.0,,"(-389.8, 3.3, 64.4)",,"(-2.0, 4.6, -7.6)",,9.1,,431018.6,,32038.1,
,,14.0,,"(-388.9, 3.5, 60.6)",,"(0.9, 0.2, -3.8)",,3.9,,384844.2,,30894.7,
,,15.0,,"(-398.0, -0.1, 75.8)",,"(-9.1, -3.7, 15.2)",,18.0,,455127.7,,34726.8,
,,16.0,,"(-398.7, 0.7, 72.0)",,"(-0.7, 0.8, -3.8)",,3.9,,444559.1,,33897.7,
,,17.0,,"(-402.1, 3.0, 68.2)",,"(-3.4, 2.3, -3.8)",,5.6,,422087.0,,31634.3,
,,18.0,,"(-404.2, 7.5, 75.8)",,"(-2.1, 4.5, 7.6)",,9.1,,471533.5,,33335.8,
,,19.0,,"(-405.6, 15.3, 72.0)",,"(-1.5, 7.8, -3.8)",,8.8,,413501.5,,31976.8,
,,20.0,,"(-406.5, 14.9, 75.8)",,"(-0.9, -0.4, 3.8)",,3.9,,421801.2,,34181.2,
,,21.0,,"(-405.3, 14.0, 75.8)",,"(1.2, -0.9, 0.0)",,1.5,,452089.6,,34357.3,
,,22.0,,"(-406.4, 14.2, 75.8)",,"(-1.1, 0.1, 0.0)",,1.1,,447636.2,,34970.6,
,,23.0,,"(-410.4, 16.5, 72.0)",,"(-4.0, 2.3, -3.8)",,5.9,,422754.4,,34617.9,
,,24.0,,"(-410.5, 18.3, 75.8)",,"(-0.1, 1.8, 3.8)",,4.2,,463777.9,,34670.7,
,,25.0,,"(-412.3, 19.4, 72.0)",,"(-1.8, 1.1, -3.8)",,4.3,,478537.6,,34300.1,
,,26.0,,"(-409.7, 22.9, 72.0)",,"(2.5, 3.5, 0.0)",,4.3,,457253.9,,33706.6,
,,27.0,,"(-415.0, 23.3, 72.0)",,"(-5.2, 0.4, 0.0)",,5.2,,512933.7,,36941.6,
,,28.0,,"(-413.6, 24.3, 75.8)",,"(1.4, 1.0, 3.8)",,4.1,,472494.9,,34136.5,
,,29.0,,"(-413.6, 26.1, 75.8)",,"(0.1, 1.8, 0.0)",,1.8,,470376.8,,35041.5,
,,30.0,,"(-417.3, 26.7, 75.8)",,"(-3.8, 0.6, 0.0)",,3.8,,587679.9,,38618.4,
