Cell ID,,Timepoint, ,Position,  ,Displacement Vector,   ,Distance Traveled,    ,Volume,     ,Surface Area,      
,,8.0,,"(-200.3, 57.6, 41.7)",,"(-3.6, -1.7, 3.8)",,5.5,,-1214.2,,802.0,
,,9.0,,,,,,,,,,,
,,10.0,,,,,,,,,,,
,,11.0,,,,,,,,,,,
,,12.0,,,,,,,,,,,
,,13.0,,,,,,,,,,,
,,14.0,,,,,,,,,,,
,,15.0,,,,,,,,,,,
,,16.0,,,,,,,,,,,
,,17.0,,,,,,,,,,,
,,18.0,,,,,,,,,,,
,,19.0,,,,,,,,,,,
,,20.0,,,,,,,,,,,
,,21.0,,,,,,,,,,,
,,22.0,,,,,,,,,,,
,,23.0,,,,,,,,,,,
"5_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-215.7, 20.6, 79.5)",,,,,,10658.8,,3151.4,
,,1.0,,"(-219.0, 24.5, 79.5)",,"(-3.2, 3.9, 0.0)",,5.1,,10016.2,,3040.9,
,,2.0,,"(-220.0, 36.1, 79.5)",,"(-1.0, 11.6, 0.0)",,11.7,,10759.7,,3006.6,
,,3.0,,"(-223.1, 37.5, 75.8)",,"(-3.1, 1.4, -3.8)",,5.1,,7960.4,,2478.2,
,,4.0,,"(-223.1, 36.8, 75.8)",,"(-0.0, -0.8, 0.0)",,0.8,,9249.5,,2750.2,
,,5.0,,"(-226.2, 40.2, 72.0)",,"(-3.1, 3.4, -3.8)",,6.0,,8802.6,,2751.3,
,,6.0,,"(-228.7, 38.7, 72.0)",,"(-2.4, -1.5, 0.0)",,2.9,,8512.3,,2671.4,
,,7.0,,"(-224.2, 42.9, 72.0)",,"(4.5, 4.2, 0.0)",,6.1,,7738.7,,2538.8,
,,8.0,,"(-229.3, 47.4, 72.0)",,"(-5.1, 4.5, 0.0)",,6.7,,7018.9,,2359.8,
,,9.0,,"(-229.2, 50.5, 72.0)",,"(0.1, 3.1, 0.0)",,3.1,,7560.4,,2427.8,
,,10.0,,"(-229.0, 47.9, 72.0)",,"(0.2, -2.6, 0.0)",,2.6,,7890.2,,2329.4,
,,11.0,,"(-228.9, 44.0, 72.0)",,"(0.1, -3.9, 0.0)",,3.9,,8182.0,,2562.7,
,,12.0,,"(-230.5, 43.3, 72.0)",,"(-1.6, -0.7, 0.0)",,1.7,,6915.2,,2409.2,
,,13.0,,"(-232.3, 40.6, 64.4)",,"(-1.8, -2.7, -7.6)",,8.3,,6775.0,,2165.6,
,,14.0,,"(-234.7, 43.2, 56.8)",,"(-2.4, 2.6, -7.6)",,8.4,,6307.4,,2158.0,
,,15.0,,"(-233.5, 37.6, 64.4)",,"(1.2, -5.6, 7.6)",,9.5,,6931.4,,2410.9,
,,16.0,,"(-234.3, 31.2, 68.2)",,"(-0.8, -6.4, 3.8)",,7.5,,8687.1,,2650.5,
,,17.0,,"(-238.7, 18.7, 72.0)",,"(-4.3, -12.4, 3.8)",,13.7,,8157.9,,2738.3,
,,18.0,,"(-239.0, 18.6, 72.0)",,"(-0.4, -0.1, 0.0)",,0.4,,9358.2,,3038.9,
,,19.0,,"(-239.4, 17.9, 72.0)",,"(-0.3, -0.7, 0.0)",,0.8,,10323.9,,2917.6,
,,20.0,,"(-241.5, 22.6, 72.0)",,"(-2.1, 4.7, 0.0)",,5.2,,9403.6,,2946.0,
,,21.0,,"(-242.9, 15.4, 72.0)",,"(-1.4, -7.3, 0.0)",,7.4,,8692.0,,2731.2,
,,22.0,,"(-245.3, 6.6, 72.0)",,"(-2.3, -8.8, 0.0)",,9.1,,9420.6,,3012.5,
,,23.0,,"(-249.8, 21.1, 72.0)",,"(-4.5, 14.5, 0.0)",,15.2,,11414.7,,3540.2,
"6_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,,,,,,,,,,
,,1.0,,,,,,,,,,,
,,2.0,,,,,,,,,,,
,,3.0,,,,,,,,,,,
,,4.0,,,,,,,,,,,
,,5.0,,,,,,,,,,,
,,6.0,,,,,,,,,,,
,,7.0,,,,,,,,,,,
,,8.0,,"(-199.6, 70.3, 56.8)",,,,,,2722.7,,989.6,
,,9.0,,"(-202.9, 72.6, 60.6)",,"(-3.3, 2.4, 3.8)",,5.6,,3199.0,,1156.9,
,,10.0,,"(-207.1, 71.6, 53.0)",,"(-4.2, -1.1, -7.6)",,8.7,,4489.3,,1440.0,
,,11.0,,"(-210.3, 68.8, 56.8)",,"(-3.2, -2.8, 3.8)",,5.7,,2768.3,,1020.7,
,,12.0,,"(-208.6, 71.6, 53.0)",,"(1.7, 2.8, -3.8)",,5.0,,3207.3,,1200.9,
,,13.0,,"(-197.6, 74.7, 60.6)",,"(10.9, 3.1, 7.6)",,13.7,,1856.1,,1373.5,
,,14.0,,"(-194.6, 70.2, 68.2)",,"(3.0, -4.5, 7.6)",,9.3,,-1706.4,,1285.7,
,,15.0,,"(-194.5, 69.8, 72.0)",,"(0.2, -0.4, 3.8)",,3.8,,4535.2,,1594.6,
,,16.0,,"(-189.9, 73.0, 68.2)",,"(4.6, 3.2, -3.8)",,6.7,,4205.9,,1470.5,
,,17.0,,"(-200.7, 75.5, 53.0)",,"(-10.8, 2.6, -15.2)",,18.8,,4018.0,,1348.2,
,,18.0,,"(-206.7, 74.6, 53.0)",,"(-6.1, -0.9, 0.0)",,6.1,,5084.5,,1645.3,
,,19.0,,"(-209.0, 76.2, 56.8)",,"(-2.3, 1.5, 3.8)",,4.7,,5422.5,,1710.4,
,,20.0,,"(-208.1, 76.2, 56.8)",,"(0.9, 0.0, 0.0)",,0.9,,3655.0,,1267.2,
,,21.0,,"(-204.5, 77.5, 60.6)",,"(3.6, 1.3, 3.8)",,5.4,,4908.2,,1568.1,
,,22.0,,"(-200.8, 77.4, 60.6)",,"(3.7, -0.1, 0.0)",,3.7,,4286.8,,1534.4,
,,23.0,,"(-205.8, 73.9, 60.6)",,"(-5.0, -3.6, 0.0)",,6.1,,5335.2,,1596.4,
"7_(0, 255, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-124.8, -77.7, 37.9)",,,,,,5474.6,,1764.2,
,,1.0,,"(-126.5, -71.2, 37.9)",,"(-1.7, 6.5, 0.0)",,6.7,,7469.4,,2151.7,
,,2.0,,"(-131.6, -77.7, 37.9)",,"(-5.1, -6.5, 0.0)",,8.3,,6943.3,,1933.3,
,,3.0,,"(-119.3, -80.4, 41.7)",,"(12.3, -2.7, 3.8)",,13.1,,6800.9,,1909.1,
,,4.0,,"(-125.3, -77.9, 53.0)",,"(-6.0, 2.5, 11.4)",,13.1,,7155.5,,1980.0,
,,5.0,,"(-127.0, -84.7, 45.5)",,"(-1.7, -6.8, -7.6)",,10.3,,7013.4,,1954.8,
,,6.0,,"(-131.5, -83.5, 53.0)",,"(-4.4, 1.2, 7.6)",,8.9,,7136.0,,1941.4,
,,7.0,,"(-130.0, -83.2, 53.0)",,"(1.5, 0.3, 0.0)",,1.5,,6932.6,,2005.4,
,,8.0,,"(-133.9, -84.3, 53.0)",,"(-3.9, -1.1, 0.0)",,4.1,,6446.9,,1975.3,
,,9.0,,"(-120.3, -82.2, 60.6)",,"(13.6, 2.1, 7.6)",,15.7,,6085.1,,1758.0,
,,10.0,,"(-119.6, -82.1, 53.0)",,"(0.7, 0.2, -7.6)",,7.6,,7530.8,,2109.5,
,,11.0,,"(-119.8, -84.3, 45.5)",,"(-0.1, -2.2, -7.6)",,7.9,,9242.7,,2378.3,
,,12.0,,"(-114.1, -85.4, 53.0)",,"(5.7, -1.1, 7.6)",,9.5,,7689.0,,2037.4,
,,13.0,,"(-117.9, -83.7, 56.8)",,"(-3.9, 1.6, 3.8)",,5.7,,7397.0,,2008.8,
,,14.0,,"(-111.9, -84.4, 53.0)",,"(6.1, -0.6, -3.8)",,7.2,,6776.0,,1891.0,
,,15.0,,"(-109.7, -81.9, 68.2)",,"(2.2, 2.5, 15.2)",,15.5,,6695.2,,1880.3,
,,16.0,,"(-111.5, -83.3, 56.8)",,"(-1.9, -1.5, -11.4)",,11.6,,5433.2,,1607.3,
,,17.0,,"(-115.2, -81.6, 60.6)",,"(-3.6, 1.7, 3.8)",,5.5,,6803.1,,1819.0,
,,18.0,,"(-119.3, -84.2, 60.6)",,"(-4.1, -2.6, 0.0)",,4.9,,7259.0,,1955.3,
